#id: 3
#name: S.cerevisiae - Whole organism (Integrated)
#score: 21.24
#weight: 
#description: integrated dataset: weighted average of all S.cerevisiae WHOLE_ORGANISM datasets<br/><b>Interaction consistency score</b>: 21.24&nbsp<b>Coverage</b>: 96
#organ: WHOLE_ORGANISM
#integrated : true
#coverage: 96
#publication_year: 2017
#filename: 4932-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
633090	4932.YLR201C	34.2
633742	4932.YMR188C	49.9
632799	4932.YLL002W	11.7
633911	4932.YNL015W	127
631565	4932.YHR022C	1.47
632728	4932.YKR039W	63.6
630083	4932.YDR240C	10.3
635036	4932.YPL095C	5.31
629122	4932.YBR072W	301
630842	4932.YFR020W	1.52
629965	4932.YDR131C	0.236
631882	4932.YIL068W-A	0.203
631967	4932.YIL147C	6.67
632246	4932.YJL193W	1.42
635296	4932.YPR057W	15.0
635390	4932.YPR146C	1.5
630691	4932.YER149C	62.8
632781	4932.YKR091W	1.56
630614	4932.YER087C-A	1.46
633110	4932.YLR221C	50.2
631835	4932.YIL027C	88.2
633005	4932.YLR134W	3308
630894	4932.YGL007W	1.46
630199	4932.YDR346C	521
629469	4932.YCR020C-A	20.3
631733	4932.YHR165W-A	0.216
630237	4932.YDR378C	10.2
632276	4932.YJL222W	4.35
628892	4932.YAR020C	1.46
630311	4932.YDR449C	121
630704	4932.YER159C-A	14.9
629555	4932.YCR102C	2.81
634424	4932.YOL084W	2.18
632307	4932.YJR024C	13.5
630595	4932.YER073W	420
630840	4932.YFR018C	28.1
632161	4932.YJL113W	0.004
635143	4932.YPL196W	12.8
629361	4932.YBR289W	16.9
629869	4932.YDR040C	81.1
632127	4932.YJL079C	18.5
633057	4932.YLR168C	31.4
631304	4932.YGR135W	251
632234	4932.YJL181W	2.31
630353	4932.YDR490C	8.63
629746	4932.YDL174C	145
631968	4932.YIL148W	420
634776	4932.YOR244W	13.2
632773	4932.YKR083C	15.7
632342	4932.YJR059W	53.1
633709	4932.YMR159C	6.38
631418	4932.YGR240C	1600
631608	4932.YHR056C	18.1
634828	4932.YOR295W	6.68
631227	4932.YGR063C	73.7
632182	4932.YJL132W	5.86
632176	4932.YJL127C-B	0.171
633710	4932.YMR160W	7.62
629999	4932.YDR166C	51.5
631954	4932.YIL135C	32.0
633382	4932.YLR467C-A	0.006
631364	4932.YGR187C	209
629674	4932.YDL108W	148
634191	4932.YNL282W	19.3
633603	4932.YMR063W	1.57
632441	4932.YJR154W	12.7
634929	4932.YOR386W	8.13
631055	4932.YGL164C	37.7
630680	4932.YER141W	70.1
632497	4932.YKL044W	1.46
634789	4932.YOR257W	6.2
630314	4932.YDR452W	7.73
634801	4932.YOR269W	2.09
634386	4932.YOL048C	8.93
634275	4932.YNR021W	360
631170	4932.YGR012W	68.6
629885	4932.YDR056C	49.3
631685	4932.YHR123W	28.4
628988	4932.YBL066C	2.25
629565	4932.YDL004W	17.1
632563	4932.YKL104C	246
629942	4932.YDR110W	14.7
631788	4932.YHR213W	1.67
632348	4932.YJR065C	95.6
634934	4932.YOR391C	3.0
630400	4932.YDR532C	7.94
631271	4932.YGR106C	256
634027	4932.YNL124W	16.4
631135	4932.YGL241W	26.0
632877	4932.YLR009W	2.12
629079	4932.YBR033W	2.32
634092	4932.YNL184C	4.3
633061	4932.YLR172C	124
629031	4932.YBL102W	18.9
630217	4932.YDR363W	15.0
629730	4932.YDL159W-A	1.13
629854	4932.YDR029W	1.33
630041	4932.YDR202C	33.3
634956	4932.YPL016W	8.78
632386	4932.YJR103W	72.1
628828	4932.YAL030W	44.4
631144	4932.YGL250W	15.2
630215	4932.YDR361C	121
635350	4932.YPR110C	242
632922	4932.YLR053C	1.35
629055	4932.YBR011C	1361
633770	4932.YMR213W	11.4
633663	4932.YMR119W-A	1.47
631662	4932.YHR100C	1.83
630447	4932.YEL027W	423
634133	4932.YNL225C	11.8
633855	4932.YMR292W	22.6
630958	4932.YGL068W	151
631123	4932.YGL229C	11.6
629412	4932.YCL036W	1.78
632716	4932.YKR028W	12.5
635281	4932.YPR042C	16.6
630416	4932.YEL002C	177
633730	4932.YMR177W	47.4
632051	4932.YJL006C	21.4
633348	4932.YLR437C	6.92
633651	4932.YMR108W	633
628861	4932.YAL056W	2.44
629500	4932.YCR046C	49.7
632784	4932.YKR094C	673
633680	4932.YMR135C	23.4
628920	4932.YBL005W-A	5.31
632344	4932.YJR061W	1.98
628873	4932.YAL065C	1.32
631587	4932.YHR039C-A	371
629432	4932.YCL056C	2.25
632150	4932.YJL102W	19.2
630775	4932.YFL026W	57.7
629650	4932.YDL085W	5.35
635239	4932.YPR003C	4.89
632663	4932.YKL198C	4.08
634915	4932.YOR374W	779
630052	4932.YDR210W-A	2.95
634913	4932.YOR372C	7.76
630127	4932.YDR279W	23.3
629823	4932.YDL248W	4.59
630755	4932.YFL011W	5.41
633119	4932.YLR227W-B	4.84
634123	4932.YNL215W	25.9
633168	4932.YLR273C	1.39
633745	4932.YMR191W	1.69
632792	4932.YKR101W	1.81
630081	4932.YDR238C	358
629377	4932.YCL001W	40.0
634020	4932.YNL117W	162
634715	4932.YOR186W	1.81
632103	4932.YJL058C	15.2
635163	4932.YPL216W	22.2
630531	4932.YER021W	154
633312	4932.YLR405W	29.8
630887	4932.YGL002W	5.36
631675	4932.YHR113W	12.3
629003	4932.YBL078C	21.9
628848	4932.YAL044C	262
633100	4932.YLR211C	2.06
632152	4932.YJL104W	109
630827	4932.YFR008W	6.97
631193	4932.YGR032W	125
633271	4932.YLR365W	1.36
632316	4932.YJR033C	9.74
633149	4932.YLR256W-A	70.9
629325	4932.YBR254C	12.2
630427	4932.YEL011W	36.7
633994	4932.YNL094W	17.7
634747	4932.YOR215C	127
632415	4932.YJR131W	67.7
633035	4932.YLR155C	1.44
629708	4932.YDL139C	6.08
635297	4932.YPR058W	40.5
633538	4932.YMR004W	27.0
630426	4932.YEL010W	1.31
628921	4932.YBL005W-B	3.79
631247	4932.YGR082W	109
630139	4932.YDR291W	7.51
629214	4932.YBR154C	17.6
629804	4932.YDL231C	2.74
630078	4932.YDR235W	16.8
634556	4932.YOR036W	1.37
632524	4932.YKL068W-A	0.229
631035	4932.YGL144C	2.26
630154	4932.YDR306C	1.53
632685	4932.YKL222C	1.78
628823	4932.YAL026C	30.8
631327	4932.YGR157W	79.9
633685	4932.YMR139W	71.2
633500	4932.YML103C	126
630805	4932.YFL054C	0.137
629145	4932.YBR092C	99.2
634555	4932.YOR035C	29.3
632735	4932.YKR046C	118
633857	4932.YMR294W	3.0
634412	4932.YOL073C	1.3
630306	4932.YDR444W	16.7
633495	4932.YML100W	149
630801	4932.YFL050C	19.0
633412	4932.YML025C	31.2
632776	4932.YKR086W	16.2
633980	4932.YNL080C	7.85
634706	4932.YOR178C	1.52
629299	4932.YBR230C	50.6
634862	4932.YOR325W	1.23
633758	4932.YMR201C	9.42
632640	4932.YKL176C	3.25
630375	4932.YDR511W	13.8
633375	4932.YLR462W	1.86
632349	4932.YJR066W	11.8
630872	4932.YFR045W	3.43
632315	4932.YJR032W	44.1
629853	4932.YDR028C	58.7
635269	4932.YPR031W	4.09
634031	4932.YNL128W	5.54
629867	4932.YDR038C	11.5
633441	4932.YML052W	365
632100	4932.YJL055W	239
631303	4932.YGR134W	12.3
632453	4932.YKL004W	56.5
633204	4932.YLR305C	8.65
632300	4932.YJR017C	90.6
633712	4932.YMR162C	6.69
634260	4932.YNR006W	21.6
630313	4932.YDR451C	1.99
629583	4932.YDL021W	22.1
633434	4932.YML046W	36.6
631413	4932.YGR235C	61.3
630820	4932.YFR001W	48.5
630357	4932.YDR494W	9.94
632988	4932.YLR118C	27.4
632914	4932.YLR045C	33.3
633076	4932.YLR187W	11.8
635085	4932.YPL141C	13.2
631678	4932.YHR116W	20.7
634725	4932.YOR193W	4.51
634126	4932.YNL218W	17.1
631359	4932.YGR182C	11.7
630175	4932.YDR322W	107
630161	4932.YDR313C	12.5
629386	4932.YCL009C	337
632057	4932.YJL012C	210
629224	4932.YBR163W	14.3
630622	4932.YER090W	257
632061	4932.YJL016W	32.4
632944	4932.YLR075W	2090
634881	4932.YOR342C	18.8
632108	4932.YJL062W-A	22.7
633386	4932.YML003W	2.04
632041	4932.YIR038C	109
632599	4932.YKL138C-A	6.28
633821	4932.YMR261C	191
633893	4932.YMR323W	10.5
632196	4932.YJL144W	6.26
629124	4932.YBR074W	14.7
630283	4932.YDR421W	4.07
633211	4932.YLR311C	1.46
633539	4932.YMR005W	74.4
629434	4932.YCL057W	162
631795	4932.YHR214W	0.129
633278	4932.YLR372W	225
632221	4932.YJL168C	20.8
634692	4932.YOR164C	81.6
633169	4932.YLR274W	94.1
633013	4932.YLR142W	7.88
631742	4932.YHR174W	15998
633737	4932.YMR183C	51.4
633478	4932.YML085C	242
634239	4932.YNL328C	8.01
634637	4932.YOR114W	1.53
629553	4932.YCR100C	1.6
631769	4932.YHR196W	1147
629673	4932.YDL107W	19.8
631470	4932.YGR290W	1.5
633963	4932.YNL065W	11.0
631387	4932.YGR209C	718
631515	4932.YHL030W-A	0.06
632461	4932.YKL011C	1.88
630718	4932.YER172C	33.9
630601	4932.YER077C	6.45
631456	4932.YGR276C	8.05
631666	4932.YHR104W	255
629637	4932.YDL073W	3.48
630520	4932.YER012W	195
629019	4932.YBL093C	46.0
633811	4932.YMR251W-A	288
634437	4932.YOL095C	35.2
634981	4932.YPL040C	16.4
631272	4932.YGR107W	1.55
629491	4932.YCR038W-A	46.9
631205	4932.YGR041W	6.91
632626	4932.YKL163W	1.84
633205	4932.YLR306W	3.89
630891	4932.YGL006W	15.4
634314	4932.YNR058W	0.184
630201	4932.YDR348C	30.6
635315	4932.YPR075C	12.6
631517	4932.YHL032C	20.7
631313	4932.YGR144W	1.52
630881	4932.YFR053C	452
631362	4932.YGR185C	872
629826	4932.YDR003W	22.0
634540	4932.YOR022C	6.02
632575	4932.YKL115C	1.56
633352	4932.YLR439W	71.9
634291	4932.YNR035C	214
631330	4932.YGR160W	1.65
633385	4932.YML002W	2.55
631154	4932.YGL259W	1.25
632521	4932.YKL066W	1.46
632345	4932.YJR062C	20.8
633734	4932.YMR181C	6.81
632756	4932.YKR067W	53.4
635074	4932.YPL131W	1533
632328	4932.YJR045C	543
634652	4932.YOR129C	7.03
629987	4932.YDR154C	1.39
632317	4932.YJR034W	18.8
632821	4932.YLL023C	43.7
634015	4932.YNL112W	604
634188	4932.YNL279W	2.04
634751	4932.YOR219C	1.95
629293	4932.YBR224W	1.52
635048	4932.YPL106C	2797
632238	4932.YJL185C	1.35
634407	4932.YOL068C	12.6
631275	4932.YGR109W-A	1.93
635242	4932.YPR006C	44.8
635112	4932.YPL167C	4.85
632916	4932.YLR047C	1.56
629742	4932.YDL170W	11.8
629153	4932.YBR101C	199
629745	4932.YDL173W	42.6
629487	4932.YCR035C	52.7
631025	4932.YGL134W	3.74
635201	4932.YPL251W	1.24
634919	4932.YOR377W	16.9
634051	4932.YNL145W	1.23
631203	4932.YGR039W	1.14
631337	4932.YGR162W	323
632308	4932.YJR025C	139
629735	4932.YDL163W	1.6
629105	4932.YBR057C	29.3
631757	4932.YHR185C	1.65
632637	4932.YKL173W	15.8
635139	4932.YPL192C	0.405
630799	4932.YFL048C	87.9
631371	4932.YGR194C	39.1
635122	4932.YPL177C	5.35
631813	4932.YIL009C-A	1.54
634868	4932.YOR330C	7.68
633402	4932.YML015C	15.0
630045	4932.YDR206W	5.86
629896	4932.YDR067C	3.67
631285	4932.YGR118W	1926
629397	4932.YCL022C	1.54
633202	4932.YLR303W	1213
631889	4932.YIL074C	99.7
634095	4932.YNL187W	1.62
629461	4932.YCR014C	2.1
629123	4932.YBR073W	23.6
635110	4932.YPL165C	1.23
633123	4932.YLR231C	37.5
630028	4932.YDR190C	215
629725	4932.YDL156W	30.9
631875	4932.YIL063C	96.3
629727	4932.YDL158C	0.038
633410	4932.YML023C	6.1
630244	4932.YDR383C	2.02
633002	4932.YLR131C	8.59
631369	4932.YGR192C	13635
629838	4932.YDR014W	6.96
629936	4932.YDR104C	1.41
631532	4932.YHL046C	1.24
629063	4932.YBR017C	68.8
631450	4932.YGR270W	12.9
630988	4932.YGL098W	17.2
632240	4932.YJL187C	13.3
631526	4932.YHL040C	1.66
633092	4932.YLR203C	117
632853	4932.YLL055W	2.06
631190	4932.YGR030C	36.4
632189	4932.YJL137C	9.19
628998	4932.YBL073W	1.59
632237	4932.YJL184W	18.3
630940	4932.YGL051W	1.54
629677	4932.YDL111C	77.9
634244	4932.YNL333W	2.98
632395	4932.YJR112W	26.7
630760	4932.YFL014W	401
634294	4932.YNR038W	115
632488	4932.YKL035W	474
632408	4932.YJR124C	0.065
630394	4932.YDR526C	1.46
633413	4932.YML026C	1159
631713	4932.YHR146W	189
629228	4932.YBR167C	9.79
631905	4932.YIL091C	30.5
633417	4932.YML030W	49.9
633097	4932.YLR208W	272
633084	4932.YLR195C	25.1
632226	4932.YJL173C	90.7
629120	4932.YBR071W	10.9
632595	4932.YKL135C	68.0
633313	4932.YLR406C	690
628935	4932.YBL017C	102
631999	4932.YIR004W	110
628944	4932.YBL026W	74.5
629861	4932.YDR034C-C	3.03
633553	4932.YMR017W	1.53
629612	4932.YDL048C	6.69
632122	4932.YJL076W	58.2
631384	4932.YGR206W	9.21
632886	4932.YLR018C	33.0
631621	4932.YHR067W	7.34
631712	4932.YHR145C	1.33
629132	4932.YBR082C	1204
630005	4932.YDR170W-A	73.9
631887	4932.YIL072W	1.91
632129	4932.YJL081C	19.0
630152	4932.YDR304C	40.6
632919	4932.YLR050C	19.3
630213	4932.YDR359C	3.56
634163	4932.YNL255C	1285
633135	4932.YLR243W	11.4
630727	4932.YER179W	1.78
631277	4932.YGR110W	0.047
634059	4932.YNL152W	4.43
632934	4932.YLR065C	11.5
630242	4932.YDR381W	498
631023	4932.YGL132W	0.083
631225	4932.YGR061C	748
633358	4932.YLR445W	1.63
631684	4932.YHR122W	29.1
628871	4932.YAL064W	1.06
632616	4932.YKL154W	107
631638	4932.YHR078W	4.45
635280	4932.YPR041W	849
629265	4932.YBR200W	69.5
632690	4932.YKR002W	139
631830	4932.YIL022W	99.3
631883	4932.YIL069C	1170
628833	4932.YAL034C	1.58
634748	4932.YOR216C	104
635049	4932.YPL107W	22.1
629759	4932.YDL186W	1.57
628817	4932.YAL020C	1.55
632012	4932.YIR017C	5.4
634736	4932.YOR204W	257
633852	4932.YMR290C	270
629882	4932.YDR053W	1.45
629574	4932.YDL012C	20.6
631129	4932.YGL235W	1.47
630711	4932.YER165W	2652
633587	4932.YMR048W	19.0
630126	4932.YDR278C	0.938
630709	4932.YER164W	48.6
630961	4932.YGL071W	21.7
631672	4932.YHR110W	12.5
629402	4932.YCL026C-B	8.62
633846	4932.YMR284W	29.3
634184	4932.YNL276C	1.63
631584	4932.YHR037W	228
632983	4932.YLR113W	173
635261	4932.YPR023C	31.7
630914	4932.YGL026C	795
631745	4932.YHR176W	1.38
633970	4932.YNL070W	40.2
635107	4932.YPL162C	27.6
632462	4932.YKL012W	5.05
634430	4932.YOL088C	34.6
630123	4932.YDR275W	8.89
629394	4932.YCL019W	2.56
632162	4932.YJL114W	0.044
629370	4932.YBR297W	1.5
629237	4932.YBR176W	27.7
633922	4932.YNL025C	2.19
631717	4932.YHR150W	2.61
630204	4932.YDR351W	2.24
632554	4932.YKL096W-A	435
631510	4932.YHL026C	7.61
633724	4932.YMR173W	118
634253	4932.YNR001C	194
630454	4932.YEL032W	253
628877	4932.YAL068C	0.014
633935	4932.YNL038W	0.034
630613	4932.YER086W	215
631485	4932.YHL006C	1.62
633307	4932.YLR400W	1.38
629033	4932.YBL104C	15.6
635057	4932.YPL115C	33.4
630676	4932.YER138C	11.2
634844	4932.YOR309C	2.01
631084	4932.YGL192W	1.86
633951	4932.YNL053W	8.09
629133	4932.YBR083W	18.0
630118	4932.YDR270W	4.08
635302	4932.YPR063C	48.7
629807	4932.YDL234C	27.6
630296	4932.YDR434W	70.9
630992	4932.YGL102C	1.43
634087	4932.YNL179C	1.54
632860	4932.YLL062C	7.96
632347	4932.YJR064W	196
632214	4932.YJL161W	7.87
630111	4932.YDR263C	0.176
631896	4932.YIL082W-A	0.448
632190	4932.YJL138C	788
634229	4932.YNL318C	0.115
635116	4932.YPL171C	3.19
634820	4932.YOR288C	25.6
632383	4932.YJR100C	1.81
635101	4932.YPL156C	1.61
629595	4932.YDL031W	94.9
631476	4932.YGR296C-A	0.508
630636	4932.YER102W	622
634077	4932.YNL169C	18.9
632473	4932.YKL022C	39.8
632545	4932.YKL089W	6.18
635160	4932.YPL213W	27.9
634817	4932.YOR285W	189
632099	4932.YJL054W	29.4
633228	4932.YLR327C	33.8
632912	4932.YLR043C	481
634839	4932.YOR304W	34.1
632264	4932.YJL210W	7.38
632771	4932.YKR081C	382
631710	4932.YHR143W-A	81.4
634255	4932.YNR002C	1.41
634389	4932.YOL051W	21.0
635337	4932.YPR098C	21.0
630176	4932.YDR323C	10.2
634012	4932.YNL109W	1.81
629799	4932.YDL226C	170
633826	4932.YMR266W	111
634985	4932.YPL044C	1.35
629952	4932.YDR119W	44.5
634501	4932.YOL156W	0.168
629652	4932.YDL086W	38.6
634710	4932.YOR182C	515
629991	4932.YDR158W	1398
633827	4932.YMR267W	10.1
631194	4932.YGR033C	35.7
629797	4932.YDL224C	27.1
631057	4932.YGL166W	15.2
633870	4932.YMR305C	139
632836	4932.YLL038C	30.1
633616	4932.YMR075W	9.91
634683	4932.YOR158W	46.0
631262	4932.YGR097W	28.6
634675	4932.YOR150W	112
634951	4932.YPL011C	29.5
629373	4932.YBR299W	28.7
634588	4932.YOR068C	1.34
633864	4932.YMR300C	274
633670	4932.YMR125W	137
631147	4932.YGL253W	3086
630304	4932.YDR442W	0.05
633962	4932.YNL064C	1788
631198	4932.YGR036C	20.3
632840	4932.YLL042C	1.44
634139	4932.YNL231C	217
634954	4932.YPL014W	9.47
631224	4932.YGR060W	726
629706	4932.YDL137W	247
628772	4932.Q0050	0.007
632723	4932.YKR035C	1.27
633455	4932.YML063W	3917
634369	4932.YOL032W	74.9
631437	4932.YGR258C	7.96
628957	4932.YBL038W	35.4
629170	4932.YBR115C	378
631654	4932.YHR092C	1.12
629488	4932.YCR036W	40.2
633136	4932.YLR244C	323
630909	4932.YGL021W	18.7
633901	4932.YNL005C	61.6
632206	4932.YJL154C	44.7
630535	4932.YER024W	37.6
629786	4932.YDL213C	116
630959	4932.YGL069C	2.53
633669	4932.YMR124W	20.1
629020	4932.YBL094C	1.39
629904	4932.YDR075W	26.1
629316	4932.YBR245C	126
631061	4932.YGL170C	1.4
631873	4932.YIL061C	7.94
634822	4932.YOR290C	8.53
633126	4932.YLR234W	370
633265	4932.YLR361C-A	1.92
628872	4932.YAL064W-B	1.5
629734	4932.YDL162C	1.24
634911	4932.YOR370C	205
632526	4932.YKL070W	1.49
633592	4932.YMR052W	14.8
630142	4932.YDR294C	139
632550	4932.YKL094W	54.6
635357	4932.YPR117W	1.73
633148	4932.YLR256W	2.47
630597	4932.YER074W-A	0.581
635145	4932.YPL198W	609
635316	4932.YPR076W	1.63
629912	4932.YDR082W	1.35
631237	4932.YGR072W	21.0
635291	4932.YPR052C	144
632697	4932.YKR009C	34.9
634967	4932.YPL027W	1.55
630156	4932.YDR308C	15.5
631997	4932.YIR002C	2.31
635244	4932.YPR008W	13.0
631970	4932.YIL150C	27.6
631479	4932.YHL001W	1101
630401	4932.YDR533C	79.7
630388	4932.YDR524C	8.34
633534	4932.YMR001C	12.3
635003	4932.YPL062W	10.8
629314	4932.YBR243C	0.165
629322	4932.YBR251W	93.8
633733	4932.YMR180C	1.37
631100	4932.YGL207W	292
629281	4932.YBR214W	95.1
632001	4932.YIR006C	99.6
632304	4932.YJR021C	1.89
630612	4932.YER085C	1.54
631434	4932.YGR255C	89.3
628894	4932.YAR027W	14.2
631984	4932.YIL162W	21.3
629665	4932.YDL099W	66.0
631246	4932.YGR081C	52.5
635198	4932.YPL249C-A	1290
633170	4932.YLR275W	25.4
634933	4932.YOR390W	3.28
631764	4932.YHR192W	33.3
629242	4932.YBR181C	1138
629598	4932.YDL034W	1.51
629174	4932.YBR119W	20.8
632739	4932.YKR050W	1.25
633891	4932.YMR321C	41.1
628912	4932.YAR071W	316
633531	4932.YML133C	1.44
631570	4932.YHR026W	106
631944	4932.YIL126W	63.2
629052	4932.YBR008C	1.97
629719	4932.YDL150W	48.3
634561	4932.YOR041C	1.51
628882	4932.YAR003W	8.58
634105	4932.YNL197C	83.6
633077	4932.YLR188W	20.4
629013	4932.YBL088C	6.26
630559	4932.YER045C	1.39
632435	4932.YJR149W	4.32
630159	4932.YDR311W	43.2
634122	4932.YNL214W	8.44
629520	4932.YCR069W	4.57
631051	4932.YGL160W	2.53
629503	4932.YCR048W	2.34
633949	4932.YNL051W	21.0
632619	4932.YKL156W	707
630835	4932.YFR013W	22.8
630809	4932.YFL058W	2.48
632360	4932.YJR077C	283
629891	4932.YDR062W	505
629679	4932.YDL113C	10.6
633425	4932.YML037C	13.6
632333	4932.YJR050W	16.1
632826	4932.YLL028W	59.3
629940	4932.YDR108W	65.6
628898	4932.YAR031W	5.01
634209	4932.YNL298W	6.41
632271	4932.YJL217W	48.2
630912	4932.YGL024W	0.059
632420	4932.YJR135W-A	43.8
630331	4932.YDR467C	1.4
633992	4932.YNL092W	7.88
633754	4932.YMR197C	7.62
635320	4932.YPR080W	7233
631614	4932.YHR061C	11.3
634178	4932.YNL270C	0.125
634784	4932.YOR252W	76.3
630861	4932.YFR035C	1.31
629821	4932.YDL247W	1.55
628851	4932.YAL046C	93.4
634025	4932.YNL122C	3.24
630424	4932.YEL009C	7.81
631815	4932.YIL010W	29.3
630397	4932.YDR529C	344
634587	4932.YOR067C	1.62
631564	4932.YHR021W-A	1.53
632400	4932.YJR116W	4.29
634714	4932.YOR186C-A	0.219
629250	4932.YBR188C	20.0
630491	4932.YEL065W	7.41
628994	4932.YBL071C	1.54
634894	4932.YOR353C	16.7
633576	4932.YMR038C	367
628801	4932.YAL007C	312
633780	4932.YMR223W	14.7
633050	4932.YLR162W-A	0.201
634865	4932.YOR328W	12.6
633306	4932.YLR399W-A	0.169
632350	4932.YJR067C	17.6
633103	4932.YLR214W	17.6
631978	4932.YIL156W-B	5.14
629625	4932.YDL061C	888
632119	4932.YJL073W	32.2
631455	4932.YGR275W	32.0
632995	4932.YLR124W	1.2
630484	4932.YEL059C-A	2.89
628929	4932.YBL011W	38.5
629817	4932.YDL243C	1.33
634280	4932.YNR026C	66.9
631029	4932.YGL138C	1.49
635387	4932.YPR144C	48.7
634635	4932.YOR112W	36.4
629137	4932.YBR085W	25.0
630330	4932.YDR466W	0.258
630021	4932.YDR183W	18.5
630878	4932.YFR051C	238
631752	4932.YHR181W	20.3
634925	4932.YOR382W	0.409
630460	4932.YEL037C	230
631265	4932.YGR100W	25.2
633492	4932.YML098W	21.0
635000	4932.YPL059W	81.7
632785	4932.YKR095W	72.8
628806	4932.YAL012W	780
634517	4932.YOR003W	1.5
632211	4932.YJL158C	102
630310	4932.YDR448W	22.5
634477	4932.YOL132W	0.013
632932	4932.YLR063W	6.91
632841	4932.YLL043W	20.9
629731	4932.YDL160C	412
630466	4932.YEL043W	14.7
630445	4932.YEL025C	7.12
632340	4932.YJR057W	25.9
628986	4932.YBL064C	85.8
631758	4932.YHR186C	3.01
631244	4932.YGR079W	1.47
634127	4932.YNL219C	39.0
630024	4932.YDR186C	6.23
630022	4932.YDR184C	8.82
634385	4932.YOL047C	3.35
629841	4932.YDR016C	18.4
630562	4932.YER047C	4.42
631618	4932.YHR064C	1130
629754	4932.YDL182W	794
630594	4932.YER072W	164
631995	4932.YIL177W-A	0.007
632582	4932.YKL122C	52.6
631049	4932.YGL158W	1.63
632180	4932.YJL130C	868
632609	4932.YKL147C	1.45
629628	4932.YDL064W	77.2
630552	4932.YER039C-A	2.2
632075	4932.YJL031C	4.56
629021	4932.YBL095W	6.85
632943	4932.YLR074C	114
630981	4932.YGL091C	24.6
632391	4932.YJR108W	1.59
630031	4932.YDR193W	1.93
633694	4932.YMR147W	1.72
634833	4932.YOR299W	19.5
631961	4932.YIL142C-A	0.258
630165	4932.YDR316W-A	14.9
628980	4932.YBL059C-A	27.2
630096	4932.YDR252W	20.7
630729	4932.YER180C-A	2.51
630473	4932.YEL050C	21.6
630101	4932.YDR257C	70.8
633995	4932.YNL095C	7.02
632287	4932.YJR005W	26.3
631152	4932.YGL258W	1.52
630260	4932.YDR399W	443
630628	4932.YER094C	57.7
631574	4932.YHR029C	73.3
634843	4932.YOR308C	3.73
632485	4932.YKL033W	7.19
634657	4932.YOR134W	2.06
634841	4932.YOR306C	1.5
631593	4932.YHR045W	24.6
634708	4932.YOR180C	0.436
631250	4932.YGR085C	1528
629471	4932.YCR021C	69.2
632705	4932.YKR017C	16.9
629420	4932.YCL044C	33.0
631415	4932.YGR237C	20.9
634709	4932.YOR181W	71.0
629920	4932.YDR090C	10.7
631825	4932.YIL019W	3.27
629028	4932.YBL100W-B	2.14
631102	4932.YGL209W	13.0
629935	4932.YDR103W	18.3
629899	4932.YDR070C	44.0
635272	4932.YPR034W	57.9
634390	4932.YOL052C	110
633164	4932.YLR269C	1.49
630475	4932.YEL051W	158
633442	4932.YML053C	6.8
629528	4932.YCR077C	63.5
629941	4932.YDR109C	3.15
634566	4932.YOR046C	328
629559	4932.YCR106W	1.58
632673	4932.YKL210W	1083
632978	4932.YLR108C	10.6
629253	4932.YBR191W	574
634970	4932.YPL030W	75.8
634342	4932.YOL008W	1.43
632405	4932.YJR121W	1555
633491	4932.YML097C	53.1
634696	4932.YOR168W	554
631155	4932.YGL260W	2.37
631399	4932.YGR221C	1.68
634512	4932.YOL165C	1.46
631332	4932.YGR161C-C	14.9
632755	4932.YKR066C	129
632256	4932.YJL202C	0.059
633267	4932.YLR363C	66.6
633446	4932.YML056C	178
634494	4932.YOL149W	54.5
632930	4932.YLR061W	1530
631979	4932.YIL157C	17.4
630320	4932.YDR458C	33.6
633395	4932.YML009W-B	0.866
632016	4932.YIR019C	0.032
630581	4932.YER062C	234
633329	4932.YLR418C	35.6
635221	4932.YPL269W	4.87
632679	4932.YKL216W	2335
629407	4932.YCL031C	81.1
629492	4932.YCR039C	1.43
635277	4932.YPR038W	1.35
634557	4932.YOR037W	20.7
634827	4932.YOR294W	24.1
635010	4932.YPL069C	27.4
631326	4932.YGR156W	25.2
632811	4932.YLL013C	60.7
631771	4932.YHR198C	15.4
633947	4932.YNL049C	45.8
629096	4932.YBR050C	1.64
634016	4932.YNL113W	277
634904	4932.YOR363C	2.14
629994	4932.YDR161W	64.7
634146	4932.YNL238W	17.1
633467	4932.YML075C	90.1
631969	4932.YIL149C	33.6
631406	4932.YGR228W	0.383
634102	4932.YNL194C	2.86
630149	4932.YDR301W	11.3
633990	4932.YNL090W	46.6
635164	4932.YPL217C	44.6
635092	4932.YPL148C	4.98
631595	4932.YHR047C	647
632632	4932.YKL168C	9.03
629516	4932.YCR065W	4.67
629504	4932.YCR049C	1.52
633878	4932.YMR311C	81.9
630864	4932.YFR037C	165
630274	4932.YDR412W	59.8
634143	4932.YNL235C	1.78
630549	4932.YER038C	2.08
631273	4932.YGR108W	3.76
634836	4932.YOR302W	63.8
632378	4932.YJR095W	15.6
632334	4932.YJR051W	13.6
631722	4932.YHR155W	11.1
634591	4932.YOR071C	2.4
631103	4932.YGL210W	71.6
631856	4932.YIL046W	3.82
635358	4932.YPR118W	40.9
629791	4932.YDL218W	1.65
630745	4932.YFL002W-A	2.53
632538	4932.YKL082C	20.2
